comment,label
carpetmuncher,1
cawk,1
cawks,1
chankertits,1
chebs,1
chi chis,1
chi-chis,1
ching chong,1
chink,1
chinks,1
circlejerk,1
cleveland steamer,1
clit,1
clitoris,1
clusterfuck,1
clusterfucks,1
cntz,1
cnut,1
cock,1
cock gobbler,1
cock*,1
cockandballs,1
cockface,1
cockfuck,1
cockhead,1
cockmaster,1
cockmunch,1
cockmuncher,1
cocknballs,1
cocks,1
cockslap,1
cocksmoker,1
cocksuck,1
cocksucked,1
cocksucker,1
cocksucking,1
cocksucks,1
fuck me so hard,1
cocksuka,1
cocksukka,1
cockup,1
coitus,1
cok,1
cokmuncher,1
coksucka,1
cooch,1
coochi,1
coochie,1
coochies,1
coochy,1
coolie,1
coolies,1
cooly,1
coon ass,1
coonass,1
coons out,1
cornhole,1
cracka,1
crackas,1
crackwhore,1
crakka,1
crakkas,1
crap,1
crazybitch,1
cum,1
cumbucket,1
cumdump,1
cumdumpster,1
cumguzzler,1
cummer,1
cumming,1
cumshot,1
cumshotarmy,1
cumshotbisexual,1
cumshotmmf,1
cumslut,1
cumwhore,1
cunillingus,1
cunnilingus,1
cunt,1
cuntchops,1
cuntface,1
cuntlick,1
cuntlicker,1
cuntlicking,1
cunts,1
cuntty,1
cuntwaffle,1
cunty,1
cuntz,1
cyberfuc,1
cyberfuck,1
cyberfucked,1
cyberfucker,1
cyberfuckers,1
cyberfucking,1
d*ck,1
d1ck,1
dago,1
dagoes,1
dagos,1
dammit,1
damn it,1
damned,1
damnit,1
darkie,1
darkies,1
daygo,1
deep throat,1
dego,1
derriere,1
derrieres,1
dick,1
dick*,1
dickbag,1
dickhead,1
dicks,1
dik,1
dike,1
dilf,1
dinks,1
dirty sanchez,1
dirty sob,1
dogshit,1
dolcett,1
donkey punch,1
donkeyribber,1
dothead,1
dotheads,1
double dong,1
douchebag,1
douchecanoe,1
dp action,1
dumbass,1
dumbasses,1
dumbfuck,1
dumbfucks,1
dune coon,1
dune coons,1
dunecoon,1
dunecoons,1
dung,1
dvda,1
dykes,1
ejaculate,1
ejaculates,1
ejaculating,1
ejaculation,1
evilbitch,1
f u c k,1
f u c k e r,1
f**k,1
f*ck,1
f.ck,1
f_u_c_k,1
fadunk,1
fag,1
fag1t,1
faget,1
fagg1t,1
faggetfaggets,1
fagging,1
faggit,1
faggits,1
faggitt,1
faggot,1
faggots,1
faggoty,1
faggs,1
fagit,1
fagot,1
fagots,1
fags,1
fagz,1
faig,1
faigs,1
fairfucking,1
fake tits,1
fannies,1
fannyflaps,1
fannyfucker,1
fart,1
farted,1
farts,1
fatass,1
fattyfck,1
fcuk,1
fcuker,1
fcuking,1
fecker,1
feg,1
felch,1
felcher,1
felching,1
fellatio,1
feltch,1
female orgy,1
femaleorgy,1
ffuck,1
fgt,1
fgts,1
ficken,1
fingerbang,1
fingerfuck,1
fingerfucked,1
fingerfucker,1
fingerfuckers,1
fingerfucking,1
fingerfucks,1
fingering,1
fistfuck,1
fistfucked,1
fistfucker,1
fistfuckers,1
fistfucking,1
fistfuckings,1
fistfucks,1
flange,1
flat breast,1
flikker,1
flippingthebird,1
fook,1
fooker,1
fool,1
fools,1
footfuckers,1
frack,1
frankenfuck,1
frotting,1
fu*k,1
fubar,1
fuc,1
fuck,1
fucka,1
fuckable,1
fuckaduck,1
fuckallbitches,1
fuckalot,1
fuckanut,1
fuckarees,1
fuckaround,1
fuckarow,1
fuckarows,1
fuckass,1
fuckback,1
fuckbag,1
fuckballs,1
fuckbitches,1
fuckbone,1
fuckboy,1
fuckbrains,1
fuckdembitches,1
fucked,1
fuckedup,1
fuckedyourmom,1
fuckedyourmum,1
fuckemall,1
fucken,1
fuckening,1
fucker,1
fuckerati,1
fuckeration,1
fuckerbacker,1
fuckerball,1
fuckerbated,1
fuckerbean,1
fuckerbell,1
fuckerbollix,1
fuckerbutt,1
fuckercup,1
fuckerd,1
fuckerdesh,1
fuckerdly,1
fuckerdness,1
fuckerdoodle,1
fuckerdoodled,1
fuckerdoodlefuck,1
fuckerduck,1
fuckerdude,1
fuckered,1
fuckereded,1
fuckeree,1
fuckerel,1
fuckerella,1
fuckerer,1
fuckerest,1
fuckerette,1
fuckereyed,1
fuckerfag,1
fuckeris,1
fuckerr,1
fuckers,1
fuckeverybody,1
fuckfacce,1
fuckfaces,1
fuckfart,1
fuckhead,1
fuckheads,1
fuckhole,1
fuckholes,1
fuckie,1
fuckiin,1
fuckin,1
fuckiname,1
fuckinfuckfucker,1
fucking,1
fuckings,1
fuckingshitmotherfucker,1
fuckingtainer,1
fuckinn,1
fuckir,1
fuckit,1
fuckity,1
fuckj,1
fuckk,1
fuckkface,1
fuckl,1
fucklng,1
fuckload,1
fuckme,1
fuckmeintheass,1
fuckmo,1
fuckmyass,1
fuckn,1
fucknut,1
fucknuts,1
fucko,1
fuckoff,1
fuckoffdude,1
fuckowski,1
fucks,1
fucksalot,1
fuckshit,1
fuckstack,1
fuckstain,1
fuckstick,1
fucktard,1
fucktards,1
fucktup,1
fucku,1
fuckuasshole,1
fuckup,1
fuckups,1
fuckwad,1
fuckwhit,1
fuckwit,1
fuckwith,1
fuckwithme,1
fuckwitme,1
fuckwitt,1
fucky,1
fuckyeahads,1
fuckyo,1
fuckyoself,1
fuckyou,1
fuckyoufucker,1
fuckyoufuckers,1
fuckyoumotherfucker,1
fuckyourdaughter,1
fuckyourmom,1
fuckyourmum,1
fuckíng,1
fudge packer,1
fudgepacker,1
fuk,1
fuk*,1
fukah,1
fuken,1
fuker,1
fukfuck,1
fukin,1
fukkah,1
fukken,1
fukker,1
fukkfuck,1
fukkin,1
fuks,1
fukwhit,1
fukwit,1
futkretzn,1
fux,1
fux0r,1
fyou,1
g00k,1
gang bang,1
gangbang,1
gangbangall,1
gangbangbi,1
gangbanged,1
gangbangs,1
geebag,1
get laid,1
girls breast,1
goatcx,1
goatfuck,1
goatse,1
goatse.cx,1
goddamn,1
goddamnit,1
gofuck yourself,1
gofuckyourself,1
gokkun,1
golden shower,1
goo girl,1
gook,1
gooks,1
gooky,1
goregasm,1
grandmotherfucker,1
greedy sob,1
guiena,1
guro,1
h00r,1
h0ar,1
h0r,1
h0re,1
h4x0r,1
hairy balls,1
halfbreed,1
halfbreeds,1
halffucking,1
ham wallet,1
hand job,1
hand jobs,1
handjob,1
handjobs,1
harlot,1
harlots,1
hatefuck,1
headass,1
her baps,1
her breasts,1
her tits,1
heshe,1
hoar,1
hoare,1
hoe,1
hoer,1
hoers,1
hoes,1
hoez,1
homo,1
homos,1
honkey,1
hooker,1
hookers,1
hoorem,1
hooters,1
hore,1
horniest,1
horny,1
hot carl,1
huge breast,1
huge tits,1
idiot,1
idiots,1
injun,1
injuns,1
inthearse,1
intheass,1
isacunt,1
isaslut,1
isawhore,1
jack off,1
jack-off,1
jackass,1
jackasses,1
jackazzes,1
jackoff,1
jap,1
japs,1
jerk,1
jerks,1
jewboy,1
jewboys,1
jigaboo,1
jigaboos,1
jiggaboo,1
jiggaboos,1
jiggerboo,1
jiggerboos,1
jiss,1
jiz,1
jizm,1
jizz,1
jubblies,1
jungle bunny,1
kaffer,1
kaffir,1
kaffre,1
kafir,1
kanker*,1
kawk,1
keister,1
kike,1
kikes,1
kissmyarse,1
kissmyass,1
knobbing,1
knobend,1
knobhead,1
knobjocky,1
knobjokey,1
knockers,1
kock,1
kraut,1
krauts,1
kunt,1
kunts,1
kuntz,1
kyke,1
kykes,1
l3i+ch,1
l3itch,1
lemon party,1
lipshits,1
lipshitz,1
lolita,1
lying coons,1
m0f0,1
m0fo,1
mafucker,1
mafuckers,1
make me come,1
male orgy,1
male squirting,1
maleorgy,1
masterbaiter,1
masturbate,1
masturbation,1
masturbator,1
meekrob,1
mexicunt,1
mexicunts,1
mf,1
milf,1
mindfuck,1
minge,1
mo-fo,1
mof0,1
mofo,1
moron,1
morons,1
moth erfucker,1
mothafuck,1
mothafucka,1
mothafuckas,1
mothafuckaz,1
mothafucked,1
mothafucker,1
mothafuckers,1
mothafuckin,1
mothafucking,1
mothafuckings,1
mothafucks,1
mothafuker,1
mothafukkah,1
mothafukker,1
motherfuck,1
motherfucka,1
motherfuckas,1
motherfucked,1
motherfuckeeeerrrrr,1
motherfucker,1
motherfuckerl,1
motherfuckers,1
motherfuckin,1
motherfucking,1
motherfuckings,1
motherfuckka,1
motherfucks,1
motherfukah,1
motherfuker,1
motherfukkah,1
motherfukker,1
mr hands,1
muff,1
muffdiving,1
mufucka,1
mutha,1
muthafecker,1
muthafucka,1
muthafuckas,1
muthafucker,1
muthafuckin,1
muthafuckker,1
muthafukah,1
muthafuker,1
muthafukkah,1
muthafukker,1
mutherfucker,1
my baps,1
myarse,1
myass,1
n!gger,1
n!ggers,1
n1gger,1
n1ggers,1
n1gr,1
nagfucker,1
naked breasts,1
nambla,1
nates,1
nazi,1
nazis,1
neger,1
negers,1
negro,1
negros,1
neonazi,1
ngger,1
nggers,1
nice baps,1
nice tits,1
nig nog,1
nigg3r,1
nigg3rs,1
nigger,1
nigger*,1
niggers,1
nigur,1
niiger,1
niigr,1
nipple,1
nipples,1
nob,1
nobjocky,1
norks,1
nutfuck,1
nutsack,1
nympho,1
octopussy,1
one cup two girls,1
one guy one jar,1
orgybi,1
packi,1
paedophile,1
paedophiles,1
paki,1
pakis,1
paky,1
panis,1
pedobear,1
pedophile,1
pedophiles,1
pegging,1
penis,1
penises,1
penisfucker,1
phuc,1
phuck,1
phuk,1
phuked,1
phuker,1
phuking,1
phukked,1
phukker,1
phukking,1
phuks,1
phuq,1
picka,1
pigfucker,1
pikey,1
pikeys,1
pikies,1
piky,1
pikys,1
piss pig,1
pisser,1
pissflaps,1
pisspig,1
pleasure chest,1
pointed breasts,1
polack,1
polacks,1
polak,1
polaks,1
pole smoker,1
pole smokers,1
polok,1
poloks,1
poo,1
poof,1
poofs,1
poofster,1
poofsters,1
poon,1
poonani,1
poontang,1
poop,1
poopchute,1
pooping,1
pooves,1
porch monkey,1
porch monkeys,1
porchmonkey,1
porchmonkeys,1
pork sword,1
porksword,1
porn,1
porno,1
pr1ck,1
pr1k,1
prick,1
prostitute,1
prostitutes,1
pthc,1
pu$$y,1
pusse,1
pussee,1
pussi,1
pussies,1
pussy,1
pussys,1
pussytwat,1
putz,1
queef,1
quim,1
qweir,1
qweirdo,1
qweirdoes,1
qweirdos,1
raghead,1
ragheads,1
raging boner,1
retard,1
retards,1
reverse cowgirl,1
rim job,1
rimjob,1
rosy palm and,1
rusty french horn,1
rusty trombone,1
s hit,1
s.o.b,1
s_h_i_t,1
s_o_b,1
saggy tits,1
sand coon,1
sand coons,1
sandcoon,1
sandcoons,1
scank,1
scissoring,1
screw it,1
screw off,1
screw you,1
screwed,1
scumbag,1
scumbags,1
sh!+,1
sh!t,1
sh!t*,1
sh!te,1
sh#t,1
sh1t,1
sh1ter,1
sh1ts,1
sh1tter,1
sh1tz,1
shagger,1
shaggin,1
shagging,1
sharmute,1
shemale,1
shi+,1
shit,1
shitblimp,1
shitdick,1
shite,1
shited,1
shitey,1
shitface,1
shitfaced,1
shitfuck,1
shitfull,1
shithead,1
shithole,1
shiting,1
shitings,1
shitpants,1
shits,1
shitsalot,1
shitsnacks,1
shitsnacksdickweed,1
shitstain,1
shitt,1
shitted,1
shitter,1
shitters,1
shittie,1
shitting,1
shittings,1
shitty,1
shity,1
shitz,1
shiz,1
sht,1
shyt,1
shyte,1
shytty,1
shyty,1
skanck,1
skank,1
skankey,1
skanks,1
skanky,1
skeet,1
skullfucker,1
slag,1
slant eye,1
slanty eye,1
sloot,1
sloots,1
slut,1
slutass,1
slutbag,1
slutface,1
sluts,1
slutty,1
slutz,1
small breast,1
smegma,1
smellyass,1
smellycunt,1
smoothass,1
sneaky sob,1
snowballing,1
sodomize,1
sodomizer,1
sodomy,1
some bazookas,1
sonofabitch,1
spic,1
spick,1
spicks,1
spics,1
spiderfuck,1
spik,1
spiks,1
splooge,1
spooge,1
starfucker,1
stfu,1
strumpet,1
strumpets,1
stupid,1
stupidity,1
subhuman,1
suck my balls,1
suck my dick,1
sucking balls,1
sucking dick,1
sucking dicks,1
suckmyballs,1
sucks balls,1
sucks dick,1
sucks dicks,1
swastika,1
tar baby,1
tar-baby,1
tatas,1
tea bagging,1
that sob is,1
that sob will,1
their baps,1
them bazookas,1
thot,1
thotties,1
thotty,1
tiddies,1
tifuck,1
tight white,1
titfuck,1
tittays,1
tittie5,1
tittiefucker,1
titties,1
titty,1
tittyfuck,1
tittywank,1
titwank,1
tooshie,1
tooshies,1
towel head,1
towelhead,1
towelheads,1
trannies,1
tranny,1
tribadism,1
tub girl,1
tubgirl,1
tush,1
tushy,1
tw4t,1
twat,1
twatburger,1
twathead,1
twatsicle,1
twatty,1
twatville,1
twinkie,1
two girls one cup,1
twunt,1
unfuckable,1
unfuckables,1
unfucking,1
upskirt,1
upthearse,1
uptheass,1
ur breast,1
urethra play,1
vag,1
vagina,1
vaginas,1
vajayjay,1
vajayjays,1
venus mound,1
wanker,1
wankers,1
wankshaft,1
wetback,1
wetback*,1
wetbacks,1
wh00r,1
wh0re,1
whatthefuck,1
white power,1
whoar,1
whore,1
whorebag,1
whoreface,1
whores,1
whoriental,1
wichser,1
women's breasts,1
wops,1
wrinkled starfish,1
wtf,1
yed her,1
yed him,1
yed it,1
yed me,1
yed them,1
yed themselves,1
yed u,1
yed you,1
yellow showers,1
yid,1
yiffy,1
you sob,1
you suck,1
your breasts,1
your tits,1
yourarse,1
yourass,1
yourshit,0
znatch,0
Respect,0
Appreciate,0
Understand,0
Listen,0
Empathize,0
Collaborate,0
Support,0
Encourage,0
Positivity,0
Kindness,0
Gratitude,0
Promoting empathy,0
Cultivating community,0
Encouraging collaboration,0
Acknowledging achievements,0
Fostering a supportive environment,0
Inspiring creativity,0
Facilitating meaningful interactions,0
Celebrating diversity,0
Encouraging authenticity,0
Embracing uniqueness,0
Supporting personal growth,0
Cultivating positivity,0
Building a sense of belonging,0
Nurturing online relationships,0
Promoting open-mindedness,0
Sharing valuable content,0
Encouraging self-expression,0
Creating a safe space,0
Inspiring others,0
Promoting meaningful connections,0
Encouraging authenticity,0
Cultivating a positive atmosphere,0
Fostering a sense of community,0
Supporting one another,0
Building a network,0
Fostering collaboration,0
Acknowledging contributions,0
Nurturing a supportive environment,0
Encouraging continuous learning,0
Facilitating constructive conversations,0
Celebrating achievements,0
Embracing diversity,0
Spreading positivity,0
Inspiring positive change,0
Cultivating a culture of respect,0
Fostering a sense of belonging,0
Building connections,0
Encouraging open communication,0
Promoting kindness,0
Supporting personal development,0
destruction,0
detail,0
detailed,0
detect,0
determine,0
develop,0
developing,0
development,0
device,0
devote,0
dialogue,0
die,0
diet,0
differ,0
difference,0
different,0
differently,0
difficult,0
difficulty,0
dig,0
digital,0
dimension,0
dining,0
dinner,0
direct,0
direction,0
directly,0
director,0
dirt,0
dirty,0
disability,0
disagree,0
disappear,0
disaster,0
discipline,0
discourse,0
discover,0
discovery,0
discrimination,0
discuss,0
discussion,0
disease,0
dish,0
dismiss,0
disorder,0
display,0
dispute,0
distance,0
distant,0
distinct,0
distinction,0
distinguish,0
distribute,0
distribution,0
district,0
diverse,0
diversity,0
divide,0
division,0
divorce,0
DNA,0
do,0
doctor,0
document,0
dog,0
domestic,0
dominant,0
dominate,0
door,0
double,0
doubt,0
down,0
downtown,0
dozen,0
draft,0
drag,0
drama,0
dramatic,0
dramatically,0
draw,0
drawing,0
dream,0
dress,0
drink,0
drive,0
driver,0
drop,0
drug,0
dry,0
due,0
during,0
dust,0
duty,0
each,0
eager,0
ear,0
early,0
earn,0
earnings,0
earth,0
ease,0
easily,0
east,0
eastern,0
easy,0
eat,0
economic,0
economics,0
economist,0
economy,0
edge,0
edition,0
editor,0
educate,0
education,0
educational,0
educator,0
effect,0
effective,0
effectively,0
efficiency,0
efficient,0
effort,0
egg,0
eight,0
either,0
elderly,0
elect,0
election,0
electric,0
electricity,0
electronic,0
element,0
elementary,0
eliminate,0
elite,0
else,0
elsewhere,0
e-mail,0
embrace,0
emerge,0
emergency,0
emission,0
emotion,0
emotional,0
emphasis,0
emphasize,0
employ,0
employee,0
employer,0
employment,0
empty,0
enable,0
encounter,0
encourage,0
end,0
enemy,0
energy,0
enforcement,0
engage,0
engine,0
engineer,0
engineering,0
English,0
enhance,0
enjoy,0
enormous,0
enough,0
ensure,0
enter,0
enterprise,0
entertainment,0
entire,0
entirely,0
entrance,0
entry,0
environment,0
environmental,0
episode,0
equal,0
equally,0
equipment,0
era,0
error,0
escape,0
especially,0
essay,0
essential,0
essentially,0
establish,0
establishment,0
estate,0
estimate,0
etc,0
ethics,0
ethnic,0
European,0
evaluate,0
evaluation,0
even,0
evening,0
event,0
eventually,0
ever,0
every,0
everybody,0
everyday,0
everyone,0
everything,0
everywhere,0
evidence,0
evolution,0
evolve,0
exact,0
exactly,0
examination,0
examine,0
example,0
exceed,0
excellent,0
except,0
exception,0
exchange,0
exciting,0
executive,0
exercise,0
exhibit,0
exhibition,0
exist,0
existence,0
existing,0
expand,0
expansion,0
expect,0
expectation,0
expense,0
expensive,0
experience,0
experiment,0
expert,0
explain,0
explanation,0
explode,0
explore,0
explosion,0
expose,0
exposure,0
express,0
expression,0
extend,0
extension,0
extensive,0
extent,0
external,0
extra,0
extraordinary,0
extreme,0
extremely,0
eye,0
fabric,0
face,0
facility,0
fact,0
factor,0
factory,0
faculty,0
fade,0
fail,0
failure,0
fair,0
fairly,0
faith,0
fall,0
familiar,0
family,0
famous,0
fan,0
fantasy,0
far,0
farm,0
farmer,0
fashion,0
fast,0
fat,0
fate,0
father,0
fault,0
favor,0
favorite,0
fear,0
feature,0
federal,0
fee,0
feed,0
feel,0
feeling,0
fellow,0
female,0
fence,0
few,0
fewer,0
fiber,0
fiction,0
field,0
fifteen,0
fifth,0
fifty,0
fight,0
fighter,0
fighting,0
figure,0
file,0
fill,0
film,0
final,0
finally,0
finance,0
financial,0
find,0
finding,0
fine,0
finger,0
finish,0
fire,0
firm,0
first,0
fish,0
fishing,0
fit,0
fitness,0
five,0
fix,0
flag,0
flame,0
flat,0
flavor,0
flee,0
flesh,0
flight,0
float,0
floor,0
flow,0
flower,0
fly,0
focus,0
folk,0
follow,0
following,0
food,0
foot,0
football,0
for,0
force,0
foreign,0
forest,0
forever,0
forget,0
form,0
formal,0
formation,0
former,0
formula,0
forth,0
fortune,0
forward,0
found,0
foundation,0
founder,0
four,0
fourth,0
frame,0
framework,0
free,0
freedom,0
freeze,0
French,0
frequency,0
frequent,0
frequently,0
fresh,0
friend,0
friendly,0
friendship,0
from,0
front,0
fruit,0
frustration,0
fuel,0
full,0
fully,0
fun,0
function,0
fund,0
fundamental,0
funding,0
funeral,0
funny,0
furniture,0
furthermore,0
future,0
gain,0
galaxy,0
gallery,0
game,0
gang,0
gap,0
garage,0
garden,0
garlic,0
gas,0
gate,0
gather,0
gay,0
gaze,0
gear,0
gender,0
gene,0
general,0
generally,0
generate,0
generation,0
genetic,0
gentleman,0
gently,0
German,0
gesture,0
get,0
ghost,0
giant,0
gift,0
gifted,0
girl,0
girlfriend,0
give,0
given,0
glad,0
glance,0
glass,0
global,0
glove,0
go,0
goal,0
God,0
gold,0
golden,0
golf,0
good,0
government,0
governor,0
grab,0
grade,0
gradually,0
graduate,0
grain,0
grand,0
grandfather,0
grandmother,0
grant,0
grass,0
grave,0
gray,0
great,0
greatest,0
green,0
grocery,0
ground,0
group,0
grow,0
growing,0
growth,0
guarantee,0
guard,0
guess,0
guest,0
guide,0
guideline,0
guilty,0
incident,0
include,0
including,0
income,0
incorporate,0
increase,0
increased,0
increasing,0
increasingly,0
incredible,0
indeed,0
independence,0
independent,0
index,0
Indian,0
indicate,0
indication,0
individual,0
industrial,0
industry,0
infant,0
infection,0
inflation,0
influence,0
inform,0
information,0
ingredient,0
initial,0
initially,0
initiative,0
injury,0
inner,0
innocent,0
inquiry,0
inside,0
insight,0
insist,0
inspire,0
install,0
instance,0
instead,0
institution,0
institutional,0
instruction,0
instructor,0
instrument,0
insurance,0
intellectual,0
intelligence,0
intend,0
intense,0
intensity,0
intention,0
interaction,0
interest,0
interested,0
interesting,0
internal,0
international,0
Internet,0
interpret,0
interpretation,0
intervention,0
interview,0
into,0
introduce,0
introduction,0
invasion,0
invest,0
investigate,0
investigation,0
investigator,0
investment,0
investor,0
invite,0
involve,0
involved,0
involvement,0
Iraqi,0
Irish,0
iron,0
Islamic,0
island,0
Israeli,0
issue,0
it,0
Italian,0
item,0
its,0
itself,0
jacket,0
jail,0
Japanese,0
jet,0
Jew,0
Jewish,0
job,0
join,0
joint,0
joke,0
journal,0
journalist,0
journey,0
joy,0
judge,0
judgment,0
juice,0
jump,0
junior,0
jury,0
just,0
justice,0
justify,0
keep,0
key,0
kick,0
kid,0
kill,0
killer,0
killing,0
kind,0
king,0
kiss,0
kitchen,0
knee,0
knife,0
knock,0
know,0
knowledge,0
lab,0
label,0
labor,0
laboratory,0
lack,0
lady,0
lake,0
land,0
landscape,0
language,0
lap,0
large,0
largely,0
last,0
late,0
later,0
Latin,0
latter,0
laugh,0
launch,0
law,0
lawn,0
lawsuit,0
lawyer,0
lay,0
layer,0
lead,0
leader,0
leadership,0
leading,0
leaf,0
league,0
lean,0
learn,0
learning,0
least,0
leather,0
leave,0
left,0
leg,0
legacy,0
legal,0
legend,0
legislation,0
legitimate,0
lemon,0
length,0
less,0
lesson,0
let,0
letter,0
level,0
liberal,0
library,0
license,0
lie,0
life,0
lifestyle,0
lifetime,0
lift,0
light,0
like,0
likely,0
limit,0
limitation,0
limited,0
line,0
link,0
lip,0
list,0
listen,0
literally,0
literary,0
literature,0
little,0
live,0
living,0
load,0
loan,0
local,0
locate,0
location,0
lock,0
long,0
long-term,0
look,0
loose,0
lose,0
loss,0
lost,0
lot,0
lots,0
loud,0
love,0
lovely,0
lover,0
low,0
lower,0
luck,0
lucky,0
lunch,0
lung,0
machine,0
mad,0
magazine,0
mail,0
main,0
mainly,0
maintain,0
maintenance,0
major,0
majority,0
make,0
maker,0
makeup,0
male,0
mall,0
man,0
manage,0
management,0
manager,0
manner,0
manufacturer,0
manufacturing,0
many,0
map,0
margin,0
mark,0
market,0
marketing,0
marriage,0
married,0
marry,0
mask,0
mass,0
massive,0
master,0
match,0
material,0
math,0
matter,0
may,0
maybe,0
mayor,0
me,0
meal,0
mean,0
meaning,0
meanwhile,0
measure,0
measurement,0
meat,0
mechanism,0
media,0
medical,0
medication,0
medicine,0
medium,0
meet,0
meeting,0
member,0
membership,0
memory,0
mental,0
mention,0
menu,0
mere,0
merely,0
mess,0
message,0
metal,0
meter,0
method,0
Mexican,0
middle,0
might,0
military,0
milk,0
million,0
mind,0
mine,0
minister,0
minor,0
minority,0
minute,0
miracle,0
mirror,0
miss,0
missile,0
mission,0
mistake,0
mix,0
mixture,0
mm-hmm,0
mode,0
model,0
moderate,0
modern,0
modest,0
mom,0
moment,0
money,0
monitor,0
month,0
mood,0
moon,0
moral,0
more,0
moreover,0
morning,0
mortgage,0
most,0
mostly,0
mother,0
motion,0
motivation,0
motor,0
mount,0
mountain,0
mouse,0
mouth,0
move,0
movement,0
movie,0
Mr,0
Mrs,0
Ms,0
much,0
multiple,0
murder,0
muscle,0
museum,0
music,0
musical,0
musician,0
Muslim,0
must,0
mutual,0
my,0
myself,0
mystery,0
myth,0
naked,0
name,0
narrative,0
narrow,0
nation,0
national,0
native,0
natural,0
naturally,0
nature,0
near,0
nearby,0
nearly,0
necessarily,0
necessary,0
neck,0
need,0
negative,0
negotiate,0
negotiation,0
neighbor,0
neighborhood,0
neither,0
nerve,0
nervous,0
net,0
network,0
never,0
nevertheless,0
new,0
newly,0
news,0
newspaper,0
next,0
nice,0
night,0
nine,0
no,0
nobody,0
nod,0
noise,0
nomination,0
none,0
nonetheless,0
nor,0
normal,0
normally,0
north,0
northern,0
nose,0
not,0
note,0
nothing,0
notice,0
notion,0
novel,0
now,0
nowhere,0
n't,0
nuclear,0
number,0
numerous,0
nurse,0
nut,0
object,0
objective,0
obligation,0
observation,0
observe,0
observer,0
obtain,0
obvious,0
obviously,0
occasion,0
occasionally,0
occupation,0
occupy,0
occur,0
ocean,0
odd,0
odds,0
of,0
off,0
offense,0
offensive,0
offer,0
office,0
officer,0
official,0
often,0
oh,0
oil,0
ok,0
okay,0
old,0
Olympic,0
on,0
once,0
one,0
ongoing,0
onion,0
online,0
only,0
onto,0
open,0
opening,0
operate,0
operating,0
operation,0
operator,0
opinion,0
opponent,0
opportunity,0
oppose,0
opposite,0
opposition,0
option,0
or,0
orange,0
order,0
ordinary,0
organic,0
organization,0
organize,0
orientation,0
origin,0
original,0
COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,1
I think that your a Fagget get a oife and burn in Hell I hate you 'm sorry we cant have any more sex i'm running out of conndoms,1
Fuck you. Fuck you award go fuck yourself,1
"Yo bitch Ja Rule is more succesful then you'll ever be whats up with you and hating you sad mofuckas...i should bitch slap ur pethedic white faces and get you to kiss my ass you guys sicken me. Ja rule is about pride in da music man. dont diss that shit on him. and nothin is wrong bein like tupac he was a brother too...fuckin white boys get things right next time.,",1
I hate you to the core!,1
"Sexy Bitch, sexy cock! Long tits",1
sexy Bitch,1
achawo,1
adi la mɔnu,1
afɔna,1
afɔnana,1
ahasitɔ,1
ahasitɔwo,1
ahasivi,1
ahasiviwo,1
ahassi,1
